pi_star,zlb,degree,solve_time,l_1,l_inf
1.0,0,1,0.5201988220214844,-3.118672883261567,-1.7325251312781198
1.0,0,2,0.9278619289398193,-4.404757412953854,-2.7723048694927903
1.0,0,3,2.942747116088867,-5.708469698806482,-3.544445588646487
1.0,0,4,23.671579837799072,-6.824960671675515,-4.889874766964999
1.0,0,5,675.918319940567,-7.001644267402384,-5.142355892952596
1,1,1,0.5373778343200684,-3.1186730738659514,-1.732525248472614
1,1,2,0.9488010406494141,-4.399467975110397,-2.1647956546538114
1,1,3,2.9690229892730713,-5.604711058256175,-2.1486487747202627
1,1,4,24.693281173706055,-6.169597753054403,-2.153972276530476
1,1,5,635.5772993564606,-6.202934892920594,-2.1541399476457626
1.01495,0,1,1.037682294845581,-3.1244579574639104,-1.9384267374516804
1.01495,0,2,2.165523052215576,-3.4212879676050876,-2.489825229449611
1.01495,0,3,6.9865217208862305,-3.4430404124105634,-2.489825229449611
1.01495,0,4,58.06723403930664,-3.4438411549705394,-2.489825229449611
1.01495,0,5,1496.6007099151611,-3.443944000786278,-2.489825229449611
