pi_star,zlb,degree,solve_time,l_1,l_inf
1.0,0.0,1.0,0.22318387031555176,-3.118672883261595,-1.7325251312781274
1.0,0.0,2.0,0.5217280387878418,-4.404687550734738,-2.7723383148663663
1.0,0.0,3.0,3.054654121398926,-5.70846969881588,-3.544445588680758
1.0,0.0,4.0,22.347231149673462,-6.824960672097279,-4.889874766466981
1.0,0.0,5.0,318.44288396835327,-7.005023967100086,-5.158259074622565
1.0,1.0,1.0,0.22066998481750488,-3.118673073865949,-1.7325252484726423
1.0,1.0,2.0,0.48690199851989746,-4.399394298530694,-2.1648298518074585
1.0,1.0,3.0,3.475759983062744,-5.604711058266777,-2.1486487747202148
1.0,1.0,4.0,22.092818021774292,-6.169597753137714,-2.1539722765314235
1.0,1.0,5.0,313.23674297332764,-6.203451369759372,-2.1540598203898953
1.01495,0.0,1.0,0.4500749111175537,-3.124457957463985,-1.9384267374516757
1.01495,0.0,2.0,1.3506560325622559,-3.4212182227612224,-2.489825229449625
1.01495,0.0,3.0,7.957073926925659,-3.4430404124105674,-2.489825229449625
1.01495,0.0,4.0,52.7851128578186,-3.443841154970971,-2.489825229449625
1.01495,0.0,5.0,756.0314700603485,-3.4439460353055353,-2.489825229449625
